id_dico,genex:hasDico,id_conj,modele,id0,present1,id1,present2,id2,present3,id3,present4,id4,present5,id5,present6,id6,imparfait1,id7,imparfait2,id8,imparfait3,id9,imparfait4,id10,imparfait5,id11,imparfait6,id12,passeSimple1,id13,passeSimple2,id14,passeSimple3,id15,passeSimple4,id16,passeSimple5,id17,passeSimple6,id18,futurSimple1,id19,futurSimple2,id20,futurSimple3,id21,futurSimple4,id22,futurSimple5,id23,futurSimple6,id24,conditionnel1,id25,conditionnel2,id26,conditionnel3,id27,conditionnel4,id28,conditionnel5,id29,conditionnel6,id30,subjonctif1,id31,subjonctif2,id32,subjonctif3,id33,subjonctif4,id34,subjonctif5,id35,subjonctif6,id36,participe,id37,infinitif
40,33,703,feindre-craindre,0,ins,1,ins,2,int,3,ignons,4,ignez,5,ignent,6,ignais,7,ignais,8,ignait,9,ignions,10,igniez,11,ignaient,12,ignis,13,ignis,14,ignit,15,ignîmes,16,ignîtes,17,ignirent,18,indrai,19,indras,20,indra,21,indrons,22,indrez,23,indront,24,indrais,25,indrais,26,indrait,27,indrions,28,indriez,29,indraient,30,igne,31,ignes,32,igne,33,ignions,34,igniez,35,ignent,36,ignant,37,indre
40,33,704,couvrir,0,e,1,es,2,e,3,ons,4,ez,5,ent,6,ais,7,ais,8,ait,9,ions,10,iez,11,aient,12,is,13,is,14,it,15,îmes,16,îtes,17,irent,18,irai,19,iras,20,ira,21,irons,22,irez,23,iront,24,irais,25,irais,26,irait,27,irions,28,iriez,29,iraient,30,e,31,es,32,e,33,ions,34,iez,35,ent,36,ant,37,ir
40,33,705,quérir,0,iers,1,iers,2,iert,3,érons,4,érez,5,ièrent,6,érais,7,érais,8,érait,9,érions,10,ériez,11,éraient,12,is,13,is,14,it,15,îmes,16,îtes,17,irent,18,errai,19,erras,20,erra,21,errons,22,errez,23,erront,24,errais,25,errais,26,errait,27,errions,28,erriez,29,erraient,30,ière,31,ières,32,ière,33,érions,34,iériez,35,ièrent,36,érant,37,érir
40,33,709,dormir,0,s,1,s,2,t,3,mons,4,mez,5,ment,6,mais,7,mais,8,mait,9,mions,10,miez,11,maient,12,mis,13,mis,14,mit,15,mîmes,16,mîtes,17,mirent,18,mirai,19,miras,20,mira,21,mirons,22,mirez,23,miront,24,mirais,25,mirais,26,mirait,27,mirions,28,miriez,29,miraient,30,me,31,mes,32,me,33,mions,34,miez,35,ment,36,mant,37,mir
40,33,710,courir,0,s,1,s,2,t,3,ons,4,ez,5,ent,6,ais,7,ais,8,ait,9,ions,10,iez,11,aient,12,us,13,us,14,ut,15,ûmes,16,ûtes,17,urent,18,rai,19,ras,20,ra,21,rons,22,rez,23,ront,24,rais,25,rais,26,rait,27,rions,28,riez,29,raient,30,e,31,es,32,e,33,ions,34,iez,35,ent,36,ant,37,ir
40,33,711,mourir,0,eurs,1,eurs,2,eurt,3,ourons,4,ourez,5,eurent,6,ourais,7,ourais,8,ourait,9,ourions,10,ouriez,11,ouraient,12,ourus,13,ourus,14,ourut,15,ourûmes,16,ourûtes,17,oururent,18,ourrai,19,ourras,20,ourra,21,ourrons,22,ourrez,23,ourront,24,ourrais,25,ourrais,26,ourrait,27,ourrions,28,ourriez,29,ourraient,30,eure,31,eures,32,eure,33,ourions,34,ouriez,35,eurent,36,ourant,37,ourir
40,33,712,servir,0,s,1,s,2,t,3,vons,4,vez,5,vent,6,vais,7,vais,8,vait,9,vions,10,viez,11,vaient,12,vis,13,vis,14,vit,15,vîmes,16,vîtes,17,virent,18,virai,19,viras,20,vira,21,virons,22,virez,23,viront,24,virais,25,virais,26,virait,27,virions,28,viriez,29,viraient,30,ve,31,ves,32,ve,33,vions,34,viez,35,vent,36,vant,37,vir
40,33,713,fuir,0,uis,1,uis,2,uit,3,uyons,4,uyez,5,uient,6,uyais,7,uyais,8,uyait,9,uyions,10,uyiez,11,uyaient,12,uis,13,uis,14,uit,15,uîmes,16,uîtes,17,uirent,18,uirai,19,uiras,20,uira,21,uirons,22,uirez,23,uiront,24,uirais,25,uirais,26,uirait,27,uirions,28,uiriez,29,uiraient,30,uie,31,uies,32,uie,33,uyions,34,uyiez,35,uient,36,uyant,37,uir
40,33,714,recevoir,0,çois,1,çois,2,çoit,3,cevons,4,cevez,5,çoivent,6,cevais,7,cevais,8,cevait,9,cevions,10,ceviez,11,cevaient,12,çus,13,çus,14,çut,15,çûmes,16,çûtes,17,çurent,18,cevrai,19,cevras,20,cevra,21,cevrons,22,cevrez,23,cevront,24,cevrais,25,cevrais,26,cevrait,27,cevrions,28,cevriez,29,cevraient,30,çoive,31,çoives,32,çoive,33,cevions,34,ceviez,35,çoivent,36,cevant,37,cevoir
40,33,715,voir,0,ois,1,ois,2,oit,3,oyons,4,oyez,5,oient,6,oyais,7,oyais,8,oyait,9,oyions,10,ouiez,11,oyaient,12,is,13,is,14,it,15,îmes,16,îtes,17,irent,18,errai,19,erras,20,erra,21,errons,22,errez,23,erront,24,errais,25,errais,26,errait,27,errions,28,erriez,29,erraient,30,oie,31,oies,32,oie,33,oyions,34,oyiez,35,oient,36,oyant,37,oir
