id_syn,id_dico,genex:hasDico ^^resource,num,lib
2334,41,34,167,already
2335,41,34,168,before
2336,41,34,169,-151
2337,41,34,170,neither
2338,41,34,171,near
2339,41,34,172,therefore
2340,41,34,173,below
2341,41,34,174,either
2342,41,34,175,across
2343,41,34,176,again
2344,41,34,177,despite
2345,41,34,178,there
2346,41,34,179,thereafter
2347,41,34,180,early
2348,41,34,181,as for
2349,41,34,182,from then on
2350,41,34,183,others
2351,41,34,184,from now on
2352,41,34,185,certainly
2353,41,34,186,everywhere
2354,41,34,187,moreover
2355,41,34,188,though
2356,41,34,189,than
2357,41,34,190,indeed
2358,41,34,191,what
2359,41,34,192,to
2360,41,34,193,it
2361,41,34,194,-132
2362,41,34,195,at once
2363,41,34,196,toward
2364,41,34,197,further
2365,41,34,198,somewhat
2366,41,34,199,that is
2367,41,34,200,hence
2368,41,34,201,[s_certainement 1]
2369,41,34,202,[s_complètement 1]
2370,41,34,203,[s_longuement 1]
2371,41,34,204,[s_maintenant 1]
2372,41,34,205,[s_parfois 2]
2373,41,34,206,[s_puis 1]
2374,41,34,207,[s_sans-fin]
2375,41,34,208,soudain
2376,41,34,209,often
2377,41,34,210,always
2378,41,34,211,[s_un-peu 1]
2379,41,34,212,[s_vraiment 1]
2380,41,34,213,[s_seulement]
2381,41,34,214,afterwards
2382,41,34,215,in order to
2383,41,34,216,it is
2384,41,34,217,ever
2385,41,34,218,best
2386,42,35,-1,absolutely
2387,42,35,-1,previously
2388,42,35,-1,much
2389,42,35,-1,an hundred
2390,42,35,-1,five
2391,42,35,-1,fifty
2392,42,35,-1,debout
2393,42,35,-1,two
2394,42,35,-1,ten
2395,42,35,-1,twelve
2396,42,35,-1,actually
2397,42,35,-1,hier
2398,42,35,-1,eight
2399,42,35,-1,lentement
2400,42,35,-1,longtemps
2401,42,35,-1,now
2402,42,35,-1,a thousand
2403,42,35,-1,nine
2404,42,35,-1,eleven
2405,42,35,-1,parfois
2406,42,35,-1,partout
2407,42,35,-1,many
2408,42,35,-1, !- 
2409,42,35,-1,infinitly
2410,42,35,-1,sixteen
2411,42,35,-1,seulement
2412,42,35,-1,simplement
2413,42,35,-1,soudain
2414,42,35,-1,often
2415,42,35,-1,tard
2416,42,35,-1,tellement
2417,42,35,-1,always
2418,42,35,-1,thirty
2419,42,35,-1,three
2420,42,35,-1,one
2421,42,35,-1,twenty
2422,42,35,-1,vite
2423,42,35,-1,really
2424,42,35,-1,suffisamment
2425,42,35,-1,immédiatement
2426,42,35,-1,0(1)jadis|0
2427,42,35,-1,avec avidité
2428,42,35,-1,avec passion
2429,42,35,-1,avidement
2430,42,35,-1,intensément
2431,42,35,-1,a lot
2432,42,35,-1,by far
2433,42,35,-1,deeply
2434,42,35,-1,extremely
2435,42,35,-1,greatly
2436,42,35,-1,highly
2437,42,35,-1,hugely
2438,42,35,-1,prodigiously
2439,42,35,-1,strongly
2440,42,35,-1,des conglomérats
2441,42,35,-1,des foultitudes
2442,42,35,-1,quantité
2443,42,35,-1,bien
2444,42,35,-1,convenablement
2445,42,35,-1,correctement
2446,42,35,-1,facilement
2447,42,35,-1,normalement
2448,42,35,-1,bizarrement
2449,42,35,-1,curieusement
2450,42,35,-1,étonnemment
2451,42,35,-1,étrangement
2452,42,35,-1,paradoxalement
2453,42,35,-1,cependant
2454,42,35,-1,apparently
2455,42,35,-1,certainly
2456,42,35,-1,evidently
2457,42,35,-1,most probably
