dcterms:identifier,id_dico,genex:hasDico ^^resource,genex:hasType,dcterms:description,dcterms:title,genex:isCaract
67161,42,35,v,démarrer,v_démarrer,0
59571,34,30,v,démarrer,v_démarrer,0
97273,73,42,v,démarrer,v_démarrer,0
168544,34,30,v,dématérialiser,v_dématérialiser,0
126500,34,30,v,démêler,v_démêler,0
67162,42,35,v,démembrer,v_démembrer,0
59572,34,30,v,démembrer,v_démembrer,0
97274,73,42,v,démembrer,v_démembrer,0
141162,34,30,v,déménager,v_déménager,0
67163,42,35,v,démentir,v_démentir,0
59573,34,30,v,démentir,v_démentir,0
97275,73,42,v,démentir,v_démentir,0
67164,42,35,v,demeurer,v_demeurer,0
59574,34,30,v,demeurer,v_demeurer,0
97276,73,42,v,demeurer,v_demeurer,0
170837,34,30,v,démonter,v_démonter,0
67165,42,35,v,démontrer,v_démontrer,0
59575,34,30,v,démontrer,v_démontrer,0
97277,73,42,v,démontrer,v_démontrer,0
170808,34,30,v,démoraliser,v_démoraliser,0
168199,34,30,v,dénaturer,v_dénaturer,0
67166,42,35,v,dénicher,v_dénicher,0
59576,34,30,v,dénicher,v_dénicher,0
97278,73,42,v,dénicher,v_dénicher,0
67167,42,35,v,dénoncer,v_dénoncer,0
59577,34,30,v,dénoncer,v_dénoncer,0
97279,73,42,v,dénoncer,v_dénoncer,0
67168,42,35,v,dénoter,v_dénoter,0
59578,34,30,v,dénoter,v_dénoter,0
97280,73,42,v,dénoter,v_dénoter,0
67169,42,35,v,dénouer,v_dénouer,0
59579,34,30,v,dénouer,v_dénouer,0
97281,73,42,v,dénouer,v_dénouer,0
169923,34,30,v,départir,v_départir,0
67170,42,35,v,dépasser,v_dépasser,0
59580,34,30,v,dépasser,v_dépasser,0
97282,73,42,v,dépasser,v_dépasser,0
168289,34,30,v,dépasser 2,v_dépasser 2,0
67171,42,35,v,dépêcher,v_dépêcher,0
59581,34,30,v,dépêcher,v_dépêcher,0
97283,73,42,v,dépêcher,v_dépêcher,0
67172,42,35,v,dépeindre,v_dépeindre,0
59582,34,30,v,dépeindre,v_dépeindre,0
97284,73,42,v,dépeindre,v_dépeindre,0
67173,42,35,v,dépendre,v_dépendre,0
59583,34,30,v,dépendre,v_dépendre,0
97285,73,42,v,dépendre,v_dépendre,0
67174,42,35,v,dépêtrer,v_dépêtrer,0
59584,34,30,v,dépêtrer,v_dépêtrer,0
97286,73,42,v,dépêtrer,v_dépêtrer,0
167727,34,30,v,dépeupler,v_dépeupler,0
67175,42,35,v,déplacer,v_déplacer,0
59585,34,30,v,déplacer,v_déplacer,0
97287,73,42,v,déplacer,v_déplacer,0
67176,42,35,v,déplaire,v_déplaire,0
59586,34,30,v,déplaire,v_déplaire,0
97288,73,42,v,déplaire,v_déplaire,0
170081,34,30,v,déplaire 1,v_déplaire 1,0
166501,34,30,v,déplier,v_déplier,0
67177,42,35,v,déployer,v_déployer,0
59587,34,30,v,déployer,v_déployer,0
97289,73,42,v,déployer,v_déployer,0
67178,42,35,v,déposer,v_déposer,0
59588,34,30,v,déposer,v_déposer,0
97290,73,42,v,déposer,v_déposer,0
67179,42,35,v,déprendre,v_déprendre,0
59589,34,30,v,déprendre,v_déprendre,0
97291,73,42,v,déprendre,v_déprendre,0
126519,34,30,v,déprimer,v_déprimer,0
59590,34,30,v,déraciner,v_déraciner,0
67180,42,35,v,dérailler,v_dérailler,0
59591,34,30,v,dérailler,v_dérailler,0
97292,73,42,v,dérailler,v_dérailler,0
67181,42,35,v,déranger,v_déranger,0
59592,34,30,v,déranger,v_déranger,0
97293,73,42,v,déranger,v_déranger,0
67182,42,35,v,dérégler,v_dérégler,0
59593,34,30,v,dérégler,v_dérégler,0
97294,73,42,v,dérégler,v_dérégler,0
67183,42,35,v,dériver,v_dériver,0
59594,34,30,v,dériver,v_dériver,0
97295,73,42,v,dériver,v_dériver,0
67184,42,35,v,dérober,v_dérober,0
59595,34,30,v,dérober,v_dérober,0
97296,73,42,v,dérober,v_dérober,0
67185,42,35,v,dérouler,v_dérouler,0
59596,34,30,v,dérouler,v_dérouler,0
97297,73,42,v,dérouler,v_dérouler,0
166533,34,30,v,désagréger,v_désagréger,0
169656,34,30,v,désaltérer,v_désaltérer,0
168389,34,30,v,désapprouver,v_désapprouver,0
171443,34,30,v,désarmer,v_désarmer,0
67186,42,35,v,désarticuler,v_désarticuler,0
59597,34,30,v,désarticuler,v_désarticuler,0
97298,73,42,v,désarticuler,v_désarticuler,0
67187,42,35,v,descendre,v_descendre,0
59598,34,30,v,descendre,v_descendre,0
97299,73,42,v,descendre,v_descendre,0
67188,42,35,v,désenchanter,v_désenchanter,0
59599,34,30,v,désenchanter,v_désenchanter,0
97300,73,42,v,désenchanter,v_désenchanter,0
67189,42,35,v,désespérer,v_désespérer,0
59600,34,30,v,désespérer,v_désespérer,0
97301,73,42,v,désespérer,v_désespérer,0
67190,42,35,v,déshabiller,v_déshabiller,0
59601,34,30,v,déshabiller,v_déshabiller,0
97302,73,42,v,déshabiller,v_déshabiller,0
67191,42,35,v,désigner,v_désigner,0
59602,34,30,v,désigner,v_désigner,0
97303,73,42,v,désigner,v_désigner,0
170132,34,30,v,désintégrer,v_désintégrer,0
67192,42,35,v,désirer,v_désirer,0
59603,34,30,v,désirer,v_désirer,0
97304,73,42,v,désirer,v_désirer,0
61254,34,30,v,désirer 1,v_désirer 1,0
68844,42,35,v,désirer 1,v_désirer 1,0
98963,73,42,v,désirer 1,v_désirer 1,0
61255,34,30,v,désirer 2,v_désirer 2,0
68845,42,35,v,désirer 2,v_désirer 2,0
98964,73,42,v,désirer 2,v_désirer 2,0
168460,34,30,v,dessécher,v_dessécher,0
67193,42,35,v,dessiner,v_dessiner,0
59604,34,30,v,dessiner,v_dessiner,0
97305,73,42,v,dessiner,v_dessiner,0
171101,34,30,v,destiner,v_destiner,0
167435,34,30,v,destituer 1,v_destituer 1,0
67194,42,35,v,détacher,v_détacher,0
59605,34,30,v,détacher,v_détacher,0
97306,73,42,v,détacher,v_détacher,0
67195,42,35,v,détailler,v_détailler,0
59606,34,30,v,détailler,v_détailler,0
97307,73,42,v,détailler,v_détailler,0
67196,42,35,v,détecter,v_détecter,0
59607,34,30,v,détecter,v_détecter,0
97308,73,42,v,détecter,v_détecter,0
133898,34,30,v,détendre,v_détendre,0
67197,42,35,v,déterminer,v_déterminer,0
59608,34,30,v,déterminer,v_déterminer,0
97309,73,42,v,déterminer,v_déterminer,0
168613,34,30,v,déterrer,v_déterrer,0
67198,42,35,v,détester,v_détester,0
59609,34,30,v,détester,v_détester,0
97310,73,42,v,détester,v_détester,0
67199,42,35,v,détourner,v_détourner,0
59610,34,30,v,détourner,v_détourner,0
97311,73,42,v,détourner,v_détourner,0
67200,42,35,v,détruire,v_détruire,0
59611,34,30,v,détruire,v_détruire,0
97312,73,42,v,détruire,v_détruire,0
67201,42,35,v,dévaster,v_dévaster,0
59612,34,30,v,dévaster,v_dévaster,0
97313,73,42,v,dévaster,v_dévaster,0
67202,42,35,v,développer,v_développer,0
59613,34,30,v,développer,v_développer,0
97314,73,42,v,développer,v_développer,0
67203,42,35,v,devenir,v_devenir,0
59614,34,30,v,devenir,v_devenir,0
97315,73,42,v,devenir,v_devenir,0
67204,42,35,v,déverser,v_déverser,0
59615,34,30,v,déverser,v_déverser,0
97316,73,42,v,déverser,v_déverser,0
168517,34,30,v,dévêtir,v_dévêtir,0
158730,34,30,v,dévier,v_dévier,0
67205,42,35,v,deviner,v_deviner,0
59616,34,30,v,deviner,v_deviner,0
97317,73,42,v,deviner,v_deviner,0
67206,42,35,v,dévisager,v_dévisager,0
59617,34,30,v,dévisager,v_dévisager,0
97318,73,42,v,dévisager,v_dévisager,0
67207,42,35,v,dévoiler,v_dévoiler,0
59618,34,30,v,dévoiler,v_dévoiler,0
97319,73,42,v,dévoiler,v_dévoiler,0
67208,42,35,v,devoir,v_devoir,0
59619,34,30,v,devoir,v_devoir,0
97320,73,42,v,devoir,v_devoir,0
67209,42,35,v,dévorer,v_dévorer,0
59620,34,30,v,dévorer,v_dévorer,0
97321,73,42,v,dévorer,v_dévorer,0
67210,42,35,v,dialoguer,v_dialoguer,0
59621,34,30,v,dialoguer,v_dialoguer,0
97322,73,42,v,dialoguer,v_dialoguer,0
168183,34,30,v,dicter,v_dicter,0
67211,42,35,v,différencier,v_différencier,0
59622,34,30,v,différencier,v_différencier,0
97323,73,42,v,différencier,v_différencier,0
67212,42,35,v,différer,v_différer,0
59623,34,30,v,différer,v_différer,0
97324,73,42,v,différer,v_différer,0
67213,42,35,v,diffuser,v_diffuser,0
59624,34,30,v,diffuser,v_diffuser,0
97325,73,42,v,diffuser,v_diffuser,0
61256,34,30,v,diffuser 1,v_diffuser 1,0
68846,42,35,v,diffuser 1,v_diffuser 1,0
98965,73,42,v,diffuser 1,v_diffuser 1,0
67214,42,35,v,digérer,v_digérer,0
59625,34,30,v,digérer,v_digérer,0
97326,73,42,v,digérer,v_digérer,0
67215,42,35,v,dilater,v_dilater,0
59626,34,30,v,dilater,v_dilater,0
97327,73,42,v,dilater,v_dilater,0
67216,42,35,v,diluer,v_diluer,0
59627,34,30,v,diluer,v_diluer,0
97328,73,42,v,diluer,v_diluer,0
169966,34,30,v,diluer 1,v_diluer 1,0
67217,42,35,v,diminuer,v_diminuer,0
59628,34,30,v,diminuer,v_diminuer,0
97329,73,42,v,diminuer,v_diminuer,0
133920,34,30,v,dîner,v_dîner,0
67218,42,35,v,dire,v_dire,0
59629,34,30,v,dire,v_dire,0
97330,73,42,v,dire,v_dire,0
61257,34,30,v,dire 1,v_dire 1,0
68847,42,35,v,dire 1,v_dire 1,0
98966,73,42,v,dire 1,v_dire 1,0
61258,34,30,v,dire 2,v_dire 2,0
68848,42,35,v,dire 2,v_dire 2,0
98967,73,42,v,dire 2,v_dire 2,0
61259,34,30,v,dire 3,v_dire 3,0
68849,42,35,v,dire 3,v_dire 3,0
98968,73,42,v,dire 3,v_dire 3,0
61260,34,30,v,dire 4,v_dire 4,0
68850,42,35,v,dire 4,v_dire 4,0
98969,73,42,v,dire 4,v_dire 4,0
61261,34,30,v,dire 5,v_dire 5,0
68851,42,35,v,dire 5,v_dire 5,0
98970,73,42,v,dire 5,v_dire 5,0
61262,34,30,v,dire 6,v_dire 6,0
68852,42,35,v,dire 6,v_dire 6,0
98971,73,42,v,dire 6,v_dire 6,0
61263,34,30,v,dire 7,v_dire 7,0
68853,42,35,v,dire 7,v_dire 7,0
98972,73,42,v,dire 7,v_dire 7,0
168325,34,30,v,dire 8,v_dire 8,0
67219,42,35,v,diriger,v_diriger,0
59630,34,30,v,diriger,v_diriger,0
97331,73,42,v,diriger,v_diriger,0
168365,34,30,v,diriger 1,v_diriger 1,0
67220,42,35,v,discerner,v_discerner,0
59631,34,30,v,discerner,v_discerner,0
97332,73,42,v,discerner,v_discerner,0
169792,34,30,v,discourir 1,v_discourir 1,0
169714,34,30,v,discréditer,v_discréditer,0
169715,34,30,v,discréditer 1,v_discréditer 1,0
67221,42,35,v,discuter,v_discuter,0
59632,34,30,v,discuter,v_discuter,0
97333,73,42,v,discuter,v_discuter,0
61264,34,30,v,discuter 1,v_discuter 1,0
